"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试添加评论","257","test_add_comment","tests","2026-04-03","broken","2026-04-03","TestComments","test_comments","",""
"测试城市下拉框动态加载","0","test_city_select_dynamic_loading","","2026-04-03","skipped","2026-04-03","","","",""
"测试水果下拉框存在","40","test_fruit_select_exists","tests","2026-04-03","passed","2026-04-03","TestDropdown","test_dropdown","",""
"测试初始评论存在","30","test_initial_comments_exist","tests","2026-04-03","passed","2026-04-03","TestComments","test_comments","",""
"测试初始评论作者","0","test_initial_comment_authors","tests","2026-04-03","broken","2026-04-03","TestComments","test_comments","",""
"测试Alert弹窗并点击取消（dismiss）","195","test_alert_popup_and_dismiss","tests","2026-04-03","passed","2026-04-03","TestAlert","test_alert","",""
"测试Alert按钮的tooltip","356","test_alert_button_tooltip","tests","2026-04-03","passed","2026-04-03","TestAlert","test_alert","",""
"测试添加包含特殊字符的评论","187","test_comment_with_special_characters","tests","2026-04-03","broken","2026-04-03","TestComments","test_comments","",""
"测试按value选择水果","214","test_select_fruit_by_value[cherry-\u6a31\u6843]","tests","2026-04-03","passed","2026-04-03","TestDropdown","test_dropdown","",""
"测试按value选择城市","0","test_select_city_by_value[guangzhou-\u5e7f\u5dde]","","2026-04-03","broken","2026-04-03","","","",""
"测试水果下拉框选项","248","test_fruit_select_options","tests","2026-04-03","passed","2026-04-03","TestDropdown","test_dropdown","",""
"测试评论区存在","64","test_comment_section_exists","tests","2026-04-03","passed","2026-04-03","TestComments","test_comments","",""
"测试添加包含emoji的评论","122","test_comment_with_emoji","tests","2026-04-03","broken","2026-04-03","TestComments","test_comments","",""
"测试Alert按钮存在","8","test_alert_button_exists","tests","2026-04-03","passed","2026-04-03","TestAlert","test_alert","",""
"测试按索引选择水果","0","test_select_fruit_by_index","tests","2026-04-03","broken","2026-04-03","TestDropdown","test_dropdown","",""
"测试按value选择水果","0","test_select_fruit_by_value[banana-\u9999\u8549]","tests","2026-04-03","broken","2026-04-03","TestDropdown","test_dropdown","",""
"测试按value选择城市","0","test_select_city_by_value[shenzhen-\u6df1\u5733]","","2026-04-03","broken","2026-04-03","","","",""
"测试按value选择水果","213","test_select_fruit_by_value[apple-\u82f9\u679c]","tests","2026-04-03","passed","2026-04-03","TestDropdown","test_dropdown","",""
"测试添加长文本评论","322","test_comment_with_long_text","tests","2026-04-03","broken","2026-04-03","TestComments","test_comments","",""
"测试添加空评论","1314","test_add_empty_comment","tests","2026-04-03","passed","2026-04-03","TestComments","test_comments","",""
"测试Alert弹窗并点击确定","196","test_alert_popup_and_accept","tests","2026-04-03","passed","2026-04-03","TestAlert","test_alert","",""
"测试添加多条评论","230","test_add_multiple_comments","tests","2026-04-03","broken","2026-04-03","TestComments","test_comments","",""
